sphote	sppar	para	a	b	c	d	f	g	aa	bb	cc	lm	li
Divu	eleg	elegDivu1	2.06	1.93					1.93	1.81	1.16	5.43	2.66
Divu	eleg	elegDivu2	1.93	1.82	1.51	0.41	0.57	0.2	1.77	1.67	1.2	2.35	2.66
Divu	eleg	elegDivu2	1.67	1.56	1.2	0.31	0.36	0.26	1.56	1.51	0.94	1.88	1.77
Disa	eleg	elegDisa1	1.46	1.41	1.04	0.47	0.67	0.31	1.25	1.2	0.83	1.46	2.19
Disa	eleg	elegDisa1	1.3	1.25	0.94	0.36	0.52	0.31	1.14	1.09	0.78		2.03
Disa	eleg	elegDisa1	1.41	1.35	0.99	0.36	0.57	0.36	1.25	1.2	0.83	2.08	2.55
Disa	eleg	elegDisa1	1.98	1.93	1.41	0.57	0.73	0.36	1.82	1.77	1.14	2.5	2.82
Disa	eleg	elegDisa1	2.08	1.98	1.35	0.67	0.78	0.31	1.82	1.72	1.04	2.19	3.03
Disa	eleg	elegDisa1	2.45	2.35	1.82	0.62	0.94	0.41	1.25	2.08	1.3	2.5	3.44
Disa	eleg	elegDisa1	2.24	2.14	1.56	0.52	0.83	0.36	2.03	1.82	1.04	2.45	3.6
Disa	eleg	elegDisa2	2.03	1.93	1.41	0.62	0.57	0.2	1.88	1.77	1.09	2.19	2.61
Disa	eleg	elegDisa2	2.08	1.93	1.41	0.52	0.67	0.26	1.88	1.82	1.25	2.61	2.97
Disa	eleg	elegDisa2	1.98	1.93	1.04	0.67	0.73	0.31	1.77	1.72	1.09	2.29	2.87
Disa	eleg	elegDisa3	2.14	2.08	1.46	0.62	0.67	0.36	1.88	1.82	1.2	2.08	3.03
Disa	erge	ergeDisa1	2.29	2.19	1.67	0.62	1.04	0.57	1.82	1.82	0.94	2.71	2.97
Disa	erge	ergeDisa1	2.19	2.14	1.51	0.78	0.99	0.36	1.67	1.67	0.99	2.82	2.71
Disa	erge	ergeDisa1	2.35	2.24	1.88	0.67	1.09	0.62	1.88	1.88	1.09	3.39	3.03
Disa	erge	ergeDisa1	2.24	2.14	1.35	0.78	1.14	0.62	1.82	1.77	0.99	3.39	2.92
Disa	erge	ergeDisa2	2.03	1.88	1.25	0.52	1.04	0.47	1.77	1.67	0.78	2.19	2.19
Divu	falc	falcDivu1	2.84	2.71					2.58	2.45	1.55		1.46
Divu	falc	falcDivu1	1.09	0.99	0.62	0.52	0.47	0.26	1.04	0.99	0.36	0.62	1.29
Divu	falc	falcDivu2	1.82	1.72	1.25	0.57	0.62	0.31	1.61	1.51	0.99	1.98	1.77
Disa	furc	furcDisa3	2.03	1.93	1.25	0.52	0.73	0.31	1.88	1.77	1.2	2.35	2.76
Divu	igno	ignoDivu1	1.09						1.04	0.99	0.57	1.61	
Divu	igno	ignoDivu2	1.04	0.99	0.94	0.41	0.41	0.31	0.47	0.36	0.57	1.2	1.2
Disa	igno	ignoDisa1	1.14	1.09	0.62	0.52	0.52	0.15	1.09	0.99	0.57	1.56	1.51
Disa	igno	ignoDisa1	1.04	0.99								1.56	1.35
Disa	igno	ignoDisa2	1.67	1.61	0.99	0.62	0.88	0.36	1.35	1.3	0.67	1.98	1.88
Disa	igno	ignoDisa2	1.56	1.51	0.99	0.67	0.83	0.26	1.3	1.2	0.57	2.97	2.29
Disa	igno	ignoDisa2	1.3	1.2	0.78	0.41	0.47	0.31	1.25	1.2	0.62	2.82	2.03
Disa	igno	ignoDisa2	1.46	1.41	1.04	0.52	0.62	0.26	1.3	1.25	0.73	2.19	2.4
Disa	igno	ignoDisa2	1.61	1.56	1.04	0.62	0.78	0.31	1.3	1.25	0.67	2.24	2.03
Disa	igno	ignoDisa3	1.04	0.99	0.78	0.31	0.41	0.2	0.99	0.94	0.47	1.56	1.3
Disa	igno	ignoDisa3	0.99	0.94	0.67	0.36	0.83	0.15	0.88	0.83	0.41	1.46	1.2
Disa	igno	ignoDisa3							0.94	0.88	0.41	1.56	1.3
