"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"1" 14 3 6 11 0 45 95 0 0 0 0 0 0 0 0 13 7.77776920658 0.598289938967 3.08352585827e-19 8.12761953511e-34 4.00858361575e-18
"2" 14 4 6 11 0 45 95 0 0 0 0 0 0 0 0 13 7.77776920658 0.598289938967 8.76097550144e-25 5.9881516841e-45 1.13892681519e-23
"3" 15 1 23 15 0 94 118 0 0 0 0 0 0 0 0 19 8.9385893512 0.470452071116 5.23854698609e-06 9.79618283661e-07 9.95323927357e-05
"4" 15 2 23 15 0 94 118 0 0 0 0 0 0 0 0 19 8.94472222461 0.470774853927 2.64045749046e-07 3.81195561919e-08 5.01686923188e-06
"5" 15 3 23 15 0 94 118 0 0 0 0 0 0 0 0 19 8.94506171134 0.470792721649 1.67243283278e-08 3.85113367944e-09 3.17762238228e-07
"6" 15 4 23 15 0 94 118 0 0 0 0 0 0 0 0 19 8.94508326312 0.470793855954 1.04000439373e-09 3.04047161424e-10 1.97600834809e-08
"7" 16 1 7 3 0 39 33 0 0 0 0 0 0 0 0 14 6.28672476488 0.44905176892 3.81741095974e-06 2.60326889365e-07 5.34437534363e-05
"8" 16 2 7 3 0 39 33 0 0 0 0 0 0 0 0 14 6.29569012263 0.449692151617 2.17233709139e-06 5.02406676746e-08 3.04127192795e-05
"9" 16 3 7 3 0 39 33 0 0 0 0 0 0 0 0 14 6.29935238205 0.449953741575 6.67696489607e-07 4.64617649544e-09 9.3477508545e-06
"10" 16 4 7 3 0 39 33 0 0 0 0 0 0 0 0 14 6.30038500663 0.450027500474 1.72918775534e-07 3.1071993413e-10 2.42086285748e-06
"11" 17 1 8 1 0 18 22 0 0 0 0 0 0 0 0 11 5.02458661032 0.456780600938 6.92442979452e-06 1.6798242732e-06 7.61687277397e-05
"12" 17 2 8 1 0 18 22 0 0 0 0 0 0 0 0 11 5.03928290481 0.45811662771 3.36396444444e-06 1.30071709031e-07 3.70036088888e-05
"13" 17 3 8 1 0 18 22 0 0 0 0 0 0 0 0 11 5.04239961518 0.458399965016 3.89559761539e-07 1.83978122467e-09 4.28515737692e-06
